2026-06-25 23:38:20 | INFO   | main_6_2_orch.py             | 80   : setup_logging            | ============================================================
2026-06-25 23:38:20 | INFO   | main_6_2_orch.py             | 81   : setup_logging            | Bot-RL-2 Starting - Listener-based, No Polling
2026-06-25 23:38:20 | INFO   | main_6_2_orch.py             | 82   : setup_logging            | ============================================================
2026-06-25 23:38:20 | INFO   | config_loader.py             | 476  : reload                   | Config loaded: E:\Bot-RL-2\f01_config\config.yaml (env prefix=BOT_)
2026-06-25 23:38:20 | INFO   | main_6_2_orch.py             | 197  : load_configuration       | Configuration loaded successfully
2026-06-25 23:38:20 | INFO   | feature_B_bootstrap.py       | 146  : build_feature_system     | function 'build_feature_system' is started
2026-06-25 23:38:20 | INFO   | config_loader.py             | 476  : reload                   | Config loaded: E:\Bot-RL-2\f01_config\config.yaml (env prefix=BOT_)
2026-06-25 23:38:20 | INFO   | main_6_2_orch.py             | 281  : _init_components         | DataHandler initialized in batch mode for train
2026-06-25 23:38:22 | INFO   | data_handler_F_2.py          | 343  : _check_ohlc              | OHLC validity OK for 'H1'.
2026-06-25 23:38:23 | WARNING | data_handler_F_2.py          | 682  : build                    | NaN after ffill for TF 'H4': 7 cells remain. These rows will be dropped to avoid lookahead.
2026-06-25 23:38:23 | INFO   | data_handler_F_2.py          | 343  : _check_ohlc              | OHLC validity OK for 'H4'.
2026-06-25 23:38:23 | WARNING | data_handler_F_2.py          | 682  : build                    | NaN after ffill for TF 'D1': 77 cells remain. These rows will be dropped to avoid lookahead.
2026-06-25 23:38:23 | INFO   | data_handler_F_2.py          | 343  : _check_ohlc              | OHLC validity OK for 'D1'.
2026-06-25 23:38:24 | INFO   | data_handler_F_2.py          | 482  : _finalize_dataframe      | NaN check passed: no NaN in data columns.
2026-06-25 23:38:24 | INFO   | data_handler_F_2.py          | 499  : _finalize_dataframe      | Column check passed: all expected OHLC columns present.
2026-06-25 23:38:24 | INFO   | main_6_2_orch.py             | 303  : start_batch              | Batch mode started: 125828 rows
2026-06-25 23:38:40 | INFO   | feature_C_engine_4.py        | 70   : execute                  | ✅ Parsed 23 feature specs: ["sma(column='close',period=20)@H1", "wma(column='close',period=20)@H4", "ema(column='close',period=20)@D1", "roc(column='close',period=14)@H4", 'rsi(period=14)@H1', 'true_range@H1', 'atr(period=14)@H1', 'macd(fast=12,slow=26,signal=9)@H1', 'bollinger_bands(close,20,2)@D1', "keltner_channel(close_col='close', n=20, m=2)@H1", 'stochastic(k_period=14, d_period=3, slowing=3)@H1', 'cci(period=20)@H1', 'mfi(period=14)@H1', 'obv@H1', 'williams_r(period=14)@H1', 'parabolic_sar(step=0.02, max_step=0.02, acceleration=0.2)@H1', 'heikin_ashi@H1', 'supertrend(period=10, multiplier=3)@H1', 'aroon(period=25)@H1', "dema(column='close', period=20)@H1", "tema(column='close', period=20)@H1", "kama(column='close', period=20)@H1", "hma(column='close', period=20)@H1"]
