open,high,low,close,volume,spread,real_volume,sma_close_20_core,ema_close_20_core,wma_close_20_core,rsi_14_core,roc_10_core,atr_14_core,macd_12_26_9_core,macd_signal_12_26_9_core,macd_hist_12_26_9_core,bb_mid_20_2.0_core,bb_up_20_2.0_core,bb_lo_20_2.0_core,kelt_mid_20_2.0_core,kelt_up_20_2.0_core,kelt_lo_20_2.0_core,stoch_k_14_3_core,stoch_d_14_3_core,cci_20_core,mfi_14_core,obv_core,wr_14_core,sar_0.02_0.02_0.2_core,ha_open_core,ha_high_core,ha_low_core,ha_close_core,tr_core
3844.16,3849.09,3839.66,3847.87,6468,11,0,,,,,,,,,,,,,,,,,,,,,,,3846.015,3849.09,3839.66,3845.195,9.430176
3848.15,3860.9,3847.03,3858.88,6841,11,0,,,,,,,,,,,,,,,,,,,,6841.0,,,3845.605,3860.9,3845.605,3853.74,13.869873
3858.93,3860.2,3850.68,3859.54,4601,19,0,,,,,,,,,,,,,,,,,,,,11442.0,,3839.66,3849.6726,3860.2,3849.6726,3857.3374,9.52002
3860.09,3861.14,3854.48,3859.95,3692,19,0,,,,,,,,,,,,,,,,,,,,15134.0,,3840.0847,3853.505,3861.14,3853.505,3858.915,6.659912
3859.93,3863.0,3859.93,3862.73,3621,14,0,,,,,,,,,,,,,,,,,,,,18755.0,,3840.927,3856.21,3863.0,3856.21,3861.3975,3.0700684
3862.73,3865.39,3858.49,3860.76,5868,14,0,,,,,,,,,,,,,,,,,,,,12887.0,,3842.2515,3858.8037,3865.39,3858.49,3861.8425,6.8999023
3860.22,3869.09,3859.02,3869.09,6225,14,0,,,,,,,,,,,,,,,,,,,,19112.0,,3844.1025,3860.3232,3869.09,3859.02,3864.355,10.070068
3869.02,3875.74,3858.11,3863.2,7944,14,0,,,,,,,,,,,,,,,,,,,,11168.0,,3846.6013,3862.339,3875.74,3858.11,3866.5176,17.629883
3863.5,3866.48,3855.44,3862.11,6923,14,0,,,,,,,,,,,,,,,,,,,,4245.0,,3850.098,3864.4282,3866.48,3855.44,3861.8826,11.040039
3862.13,3865.18,3857.32,3865.07,5709,14,0,,,,,,,,,,,,,,,,,,,,9954.0,,3853.175,3863.1553,3865.18,3857.32,3862.425,7.8598633
3865.01,3869.82,3861.98,3863.3,6387,12,0,,,,,0.40100107,,,,,,,,,,,,,,,3567.0,,3855.44,3862.7903,3869.82,3861.98,3865.0276,7.840088
3863.31,3864.81,3853.24,3859.32,8040,10,0,,,,,0.011402273,,,,,,,,,,,,,,,-4473.0,,3875.74,3863.909,3864.81,3853.24,3860.17,11.570068
3859.33,3879.98,3858.91,3879.11,9555,10,0,,,,,0.5070552,,,,,,,,,,,,,,,5082.0,,3853.24,3862.0393,3879.98,3858.91,3869.3325,21.070068
3879.09,3895.51,3878.96,3892.91,9412,10,0,,,,,0.8538971,,,,,,,,,,,,,,,14494.0,,3853.24,3865.686,3895.51,3865.686,3886.6174,16.550049
3892.91,3895.24,3883.76,3888.92,8280,10,0,,,,80.595955,0.67801785,10.900636,,,,,,,,,,86.40677,,,69.138954,6214.0,-13.593234,3854.931,3876.1516,3895.24,3876.1516,3890.2075,11.47998
3888.92,3889.7,3885.16,3887.42,7055,10,0,,,,78.15387,0.69053763,10.446307,,,,,,,,,,81.95405,,,61.634445,-841.0,-18.045952,3856.554,3883.1797,3889.7,3883.1797,3887.8,4.540039
3887.42,3888.59,3878.08,3883.73,7845,9,0,,,,71.96446,0.37838355,10.450857,,,,,,,,,,72.13154,80.164116,,54.790882,-8686.0,-27.868465,3858.1123,3885.4897,3888.59,3878.08,3884.455,10.51001
3883.93,3891.34,3864.59,3870.31,11388,9,0,,,,54.013905,0.18404432,11.615082,,,,,,,,,,40.38325,64.822945,,47.206642,-20074.0,-59.61675,3859.6082,3884.9724,3891.34,3864.59,3877.5425,26.75
3870.32,3877.4,3863.9,3872.82,11390,9,0,,,,56.362915,0.27730957,11.749719,,,,,,,,,,46.321266,52.94535,,40.70724,-8684.0,-53.678734,3861.0442,3881.2576,3881.2576,3863.9,3871.11,13.5
3872.78,3878.9,3856.36,3872.92,11540,9,0,3868.998,3869.7632,3873.6284,56.46514,0.20310111,12.520439,,,,3868.998,3892.2742,3845.722,,,,46.557842,44.420788,,38.74327,2856.0,-53.442158,3895.51,3876.1838,3878.9,3856.36,3870.24,22.539795
3872.93,3876.75,3857.93,3868.46,11249,9,0,3870.0276,3869.6392,3873.5771,50.390194,0.13356458,12.970412,,,,3870.0276,3891.2012,3848.854,3869.6392,3893.8135,3845.4648,36.006622,42.96191,,32.09536,-8393.0,-63.993378,3894.727,3873.212,3876.75,3857.93,3869.0176,18.820068
3868.39,3871.61,3860.74,3870.78,8297,10,0,3870.6226,3869.7478,3873.649,53.399418,0.29694352,12.820391,,,,3870.6226,3891.1692,3850.076,3869.7478,3893.8003,3845.6953,41.49515,41.353207,,32.00235,-96.0,-58.50485,3893.9597,3871.1147,3871.61,3860.74,3867.88,10.870117
3870.8,3872.01,3860.62,3860.73,7395,11,0,3870.6821,3868.889,3872.7068,40.975967,-0.47382003,12.718213,,,,3870.6821,3891.1067,3850.2576,3868.889,3892.878,3844.9,17.719423,31.740398,,31.878925,-7491.0,-82.28058,3893.2078,3869.4973,3872.01,3860.62,3866.04,11.389893
3860.72,3866.41,3854.82,3862.26,8477,11,0,3870.7976,3868.2576,3871.9048,43.29343,-0.7873288,12.637615,,,,3870.7976,3891.003,3850.5923,3868.2576,3892.206,3844.309,21.33901,26.851194,,26.675413,986.0,-78.66099,3892.4707,3867.7686,3867.7686,3854.82,3861.0525,11.589844
3862.41,3870.85,3861.52,3867.91,7207,11,0,3871.0564,3868.2244,3871.6296,51.42062,-0.5402528,12.401362,,,,3871.0564,3890.9722,3851.1406,3868.2244,3891.9084,3844.5403,34.705463,24.587965,,27.149233,8193.0,-65.29453,3890.9646,3864.4106,3870.85,3861.52,3865.6726,9.330078
